date,cases,deaths,country,continent,Cumulative_number_for_14_days_of_COVID-19_cases_per_100000
31/12/2019,0,0,India,Asia,
01/01/2020,0,0,India,Asia,
02/01/2020,0,0,India,Asia,
03/01/2020,0,0,India,Asia,
04/01/2020,0,0,India,Asia,
05/01/2020,0,0,India,Asia,
06/01/2020,0,0,India,Asia,
07/01/2020,0,0,India,Asia,
08/01/2020,0,0,India,Asia,
09/01/2020,0,0,India,Asia,
10/01/2020,0,0,India,Asia,
11/01/2020,0,0,India,Asia,
12/01/2020,0,0,India,Asia,
13/01/2020,0,0,India,Asia,0.0
14/01/2020,0,0,India,Asia,0.0
15/01/2020,0,0,India,Asia,0.0
16/01/2020,0,0,India,Asia,0.0
17/01/2020,0,0,India,Asia,0.0
18/01/2020,0,0,India,Asia,0.0
19/01/2020,0,0,India,Asia,0.0
20/01/2020,0,0,India,Asia,0.0
21/01/2020,0,0,India,Asia,0.0
22/01/2020,0,0,India,Asia,0.0
23/01/2020,0,0,India,Asia,0.0
24/01/2020,0,0,India,Asia,0.0
25/01/2020,0,0,India,Asia,0.0
26/01/2020,0,0,India,Asia,0.0
27/01/2020,0,0,India,Asia,0.0
28/01/2020,0,0,India,Asia,0.0
29/01/2020,0,0,India,Asia,0.0
30/01/2020,1,0,India,Asia,7.318e-05
31/01/2020,0,0,India,Asia,7.318e-05
01/02/2020,0,0,India,Asia,7.318e-05
02/02/2020,1,0,India,Asia,0.00014637
03/02/2020,0,0,India,Asia,0.00014637
04/02/2020,1,0,India,Asia,0.00021955
05/02/2020,0,0,India,Asia,0.00021955
06/02/2020,0,0,India,Asia,0.00021955
07/02/2020,0,0,India,Asia,0.00021955
08/02/2020,0,0,India,Asia,0.00021955
09/02/2020,0,0,India,Asia,0.00021955
10/02/2020,0,0,India,Asia,0.00021955
11/02/2020,0,0,India,Asia,0.00021955
12/02/2020,0,0,India,Asia,0.00021955
13/02/2020,0,0,India,Asia,0.00014637
14/02/2020,0,0,India,Asia,0.00014637
