,dateRep,day,month,year,cases,deaths,countriesAndTerritories,geoId,countryterritoryCode,popData2019,continentExp
0,27/06/2020,27,6,2020,276,8,Afghanistan,AF,AFG,38041757.0,Asia
1,26/06/2020,26,6,2020,460,36,Afghanistan,AF,AFG,38041757.0,Asia
2,25/06/2020,25,6,2020,234,21,Afghanistan,AF,AFG,38041757.0,Asia
3,24/06/2020,24,6,2020,338,20,Afghanistan,AF,AFG,38041757.0,Asia
4,23/06/2020,23,6,2020,310,17,Afghanistan,AF,AFG,38041757.0,Asia
5,22/06/2020,22,6,2020,409,12,Afghanistan,AF,AFG,38041757.0,Asia
6,21/06/2020,21,6,2020,546,21,Afghanistan,AF,AFG,38041757.0,Asia
7,20/06/2020,20,6,2020,346,2,Afghanistan,AF,AFG,38041757.0,Asia
8,19/06/2020,19,6,2020,658,42,Afghanistan,AF,AFG,38041757.0,Asia
9,18/06/2020,18,6,2020,564,13,Afghanistan,AF,AFG,38041757.0,Asia
10,17/06/2020,17,6,2020,783,13,Afghanistan,AF,AFG,38041757.0,Asia
11,16/06/2020,16,6,2020,761,7,Afghanistan,AF,AFG,38041757.0,Asia
12,15/06/2020,15,6,2020,664,20,Afghanistan,AF,AFG,38041757.0,Asia
13,14/06/2020,14,6,2020,556,5,Afghanistan,AF,AFG,38041757.0,Asia
14,13/06/2020,13,6,2020,656,20,Afghanistan,AF,AFG,38041757.0,Asia
15,12/06/2020,12,6,2020,747,21,Afghanistan,AF,AFG,38041757.0,Asia
16,11/06/2020,11,6,2020,684,21,Afghanistan,AF,AFG,38041757.0,Asia
17,10/06/2020,10,6,2020,542,15,Afghanistan,AF,AFG,38041757.0,Asia
18,09/06/2020,9,6,2020,575,12,Afghanistan,AF,AFG,38041757.0,Asia
19,08/06/2020,8,6,2020,791,30,Afghanistan,AF,AFG,38041757.0,Asia
20,07/06/2020,7,6,2020,582,18,Afghanistan,AF,AFG,38041757.0,Asia
21,06/06/2020,6,6,2020,915,9,Afghanistan,AF,AFG,38041757.0,Asia
22,05/06/2020,5,6,2020,787,6,Afghanistan,AF,AFG,38041757.0,Asia
23,04/06/2020,4,6,2020,758,24,Afghanistan,AF,AFG,38041757.0,Asia
24,03/06/2020,3,6,2020,759,5,Afghanistan,AF,AFG,38041757.0,Asia
25,02/06/2020,2,6,2020,545,8,Afghanistan,AF,AFG,38041757.0,Asia
26,01/06/2020,1,6,2020,680,8,Afghanistan,AF,AFG,38041757.0,Asia
27,31/05/2020,31,5,2020,866,3,Afghanistan,AF,AFG,38041757.0,Asia
28,30/05/2020,30,5,2020,623,11,Afghanistan,AF,AFG,38041757.0,Asia
29,29/05/2020,29,5,2020,580,8,Afghanistan,AF,AFG,38041757.0,Asia
30,28/05/2020,28,5,2020,625,7,Afghanistan,AF,AFG,38041757.0,Asia
31,27/05/2020,27,5,2020,658,1,Afghanistan,AF,AFG,38041757.0,Asia
32,26/05/2020,26,5,2020,591,1,Afghanistan,AF,AFG,38041757.0,Asia
33,25/05/2020,25,5,2020,584,2,Afghanistan,AF,AFG,38041757.0,Asia
34,24/05/2020,24,5,2020,782,11,Afghanistan,AF,AFG,38041757.0,Asia
35,23/05/2020,23,5,2020,540,12,Afghanistan,AF,AFG,38041757.0,Asia
36,22/05/2020,22,5,2020,531,6,Afghanistan,AF,AFG,38041757.0,Asia
37,21/05/2020,21,5,2020,492,9,Afghanistan,AF,AFG,38041757.0,Asia
38,20/05/2020,20,5,2020,581,5,Afghanistan,AF,AFG,38041757.0,Asia
39,19/05/2020,19,5,2020,408,4,Afghanistan,AF,AFG,38041757.0,Asia
